pc1,pc2,y
4.8556714,1.2831382,0.0
4.6979237,1.306692,0.0
4.7151794,1.2984364,0.0
5.018395,1.2293245,0.0
5.008976,1.2309455,0.0
5.0552783,1.2233716,0.0
4.951453,1.2467586,0.0
4.7848854,1.2744181,0.0
5.265698,1.1650199,0.0
5.1161942,1.2049885,0.0
5.0017643,1.222231,0.0
5.3815894,1.1234456,0.0
5.264607,1.1579504,0.0
5.3091807,1.1393827,0.0
5.5170493,1.0690318,0.0
5.622041,1.028309,0.0
5.526888,1.0651042,0.0
5.2820406,1.1453471,0.0
5.7363753,0.96500576,0.0
5.414475,1.09946,0.0
5.522649,1.0587953,0.0
5.508626,1.0578368,0.0
5.4292703,1.077954,0.0
5.711346,0.9814828,0.0
5.619814,1.0097765,0.0
5.701894,0.97843236,0.0
5.716827,0.97091043,0.0
5.6774035,0.983133,0.0
5.729319,0.9638636,0.0
5.9048376,0.87054795,0.0
5.693682,0.9641546,0.0
5.696624,0.9668252,0.0
6.02043,0.79469824,0.0
6.0159044,0.7982061,0.0
5.788724,0.9224474,0.0
5.8598747,0.88318413,0.0
5.6213293,0.9995409,0.0
5.7073126,0.96044666,0.0
6.026795,0.7837087,0.0
5.812325,0.91111255,0.0
5.833491,0.8911686,0.0
5.952209,0.83310145,0.0
5.8148327,0.9045474,0.0
5.922542,0.8388439,0.0
5.953485,0.82440436,0.0
5.995006,0.79025954,0.0
6.0647564,0.74601614,0.0
6.012126,0.78982943,0.0
5.982572,0.8061641,0.0
5.9668717,0.812163,0.0
6.124581,0.6991301,0.0
5.9684653,0.8082629,0.0
6.177759,0.6525447,0.0
6.156,0.6716033,0.0
5.952603,0.8134315,0.0
6.006199,0.78214306,0.0
6.0406,0.7510043,0.0
6.065142,0.7385664,0.0
6.1977754,0.62904733,0.0
6.171186,0.6483945,0.0
6.057975,0.7387115,0.0
6.144734,0.67090505,0.0
6.2306643,0.5899977,0.0
6.215132,0.60615265,0.0
6.2771115,0.54118216,0.0
6.2874327,0.526099,0.0
6.0534377,0.7351187,0.0
6.146681,0.6632194,0.0
6.34135,0.46368995,0.0
6.481483,0.23264612,0.0
6.1745605,0.64268583,0.0
6.2130413,0.59077483,0.0
6.386737,0.39487913,0.0
6.365956,0.404545,0.0
6.244071,0.55365443,0.0
6.16791,0.634382,0.0
6.306977,0.48492765,0.0
6.3713274,0.40374714,0.0
6.301586,0.4890131,0.0
6.305542,0.49236897,0.0
6.4471726,0.2686209,0.0
6.238368,0.55867356,0.0
6.3658466,0.3951902,0.0
6.470576,0.22774369,0.0
6.4321284,0.29471114,0.0
6.336937,0.43379632,0.0
6.433013,0.28833798,0.0
6.447028,0.2510176,0.0
6.281699,0.49489686,0.0
6.4083,0.3230758,0.0
6.5032964,0.14154533,0.0
6.4752135,0.21522537,0.0
